Equipment,Substation Name,1_3,POF,"Reliability Risk Matrix (PoF,CoF)",line,substation_transformer_id,sap_equipment_id,user_status,substation_id,substation_name,substation_hftd,substation_hfra,substation_region,substation_division,substation_county,bank_id,equipment_description,functional_location,functional_location_desc,planner_group,position,install_date,in_service_date,nominal_voltages_primary_kv,nominal_voltages_secondary_kv,primary_winding_connection,secondary_winding_connection,nameplate_cap_max_kva,base_kva,phase,manufacturer,vintage,manufacturer_model_number,ltc_present,main_workcenter,unit_substation,fuse_protected,pressure_relief_mfr,pressure_relief_model_number,extreme_pressure_relief_device_present,latitude,longitude,toa_dga_result_ts_id,toa_fq_result_ts_id,toa_pcb_result_ts_id,toa_moisture_result_ts_id,toa_furan_result_ts_id,manufacturer_description,manufacture_serial_number,system_status,nominal_voltages_tertiary_kv,tertiary_winding_connection,cooling_stage,temp_rise_deg_c,primary_rated_voltage,secondary_rated_voltage,year_of_manufacture,iron_losses,copper_losses,nameplate_cap_rating_1_kva,nameplate_cap_rating_2_kva,nameplate_cap_rating_3_kva,rated_tertiary_kva,equipment_type,manufactured,oil_directed_piping,insulating_fluid_type,impedance_pct,oil_total_gals,online_dga_monitor,rewound,pre_bt_mfr_value,winding_material,nlt_a_1_pri_rated_voltage_v,nlt_b_2_pri_rated_voltage_v,nlt_c_3_pri_rated_voltage_v,nlt_d_4_pri_rated_voltage_v,nlt_e_5_pri_rated_voltage_v,nlt_a_1_sec_rated_voltage_v,nlt_b_2_sec_rated_voltage_v,nlt_c_3_sec_rated_voltage_v,nlt_d_4_sec_rated_voltage_v,nlt_e_5_sec_rated_voltage_v
41158251,HAAS PH,1,0.2,43,D,ETS.07.16310-41158251,41158251,[INSV],ETS.07.16310,"Haas Ph, Fresno Hq",TIER 2,HFRA Addition,Central Valley,Fresno,Fresno,BK 1A,BK 1 A SINGLE PHASE TRANSFORMER,ETS.07.16310.TXFR,"HAAS PH, POWER TRANSFORMERS",DS1,0005,1940-06-01,,230.0,13.8,WYE,DELTA,50000.0,37500.0,1.0,WH,,OAP,N,FRESNO,GM&C,,,,N,0.0,0.0,41158251-dga_result,41158251-fq_result,41158251-pcb_result,41158251-moisture_result,41158251-furan_result,Westinghouse,6535088,[INST],,,OA/FA,55.0,,,,,,37500.0,50000.0,,,ETS.TXFR,1940-06-01,,,9.8,,,,WEC,,,,,,,,,,,
41158251,HAAS PH,1,0.2,44,T,ETS.07.16310-41158251,41158251,[INSV],ETS.07.16310,"Haas Ph, Fresno Hq",TIER 2,HFRA Addition,Central Valley,Fresno,Fresno,BK 1A,BK 1 A SINGLE PHASE TRANSFORMER,ETS.07.16310.TXFR,"HAAS PH, POWER TRANSFORMERS",DS1,0005,1940-06-01,,230.0,13.8,WYE,DELTA,50000.0,37500.0,1.0,WH,,OAP,N,FRESNO,GM&C,,,,N,0.0,0.0,41158251-dga_result,41158251-fq_result,41158251-pcb_result,41158251-moisture_result,41158251-furan_result,Westinghouse,6535088,[INST],,,OA/FA,55.0,,,,,,37500.0,50000.0,,,ETS.TXFR,1940-06-01,,,9.8,,,,WEC,,,,,,,,,,,
41158253,HAAS PH,1,0.2,44,T,ETS.07.16310-41158253,41158253,[INSV],ETS.07.16310,"Haas Ph, Fresno Hq",TIER 2,HFRA Addition,Central Valley,Fresno,Fresno,BK 1C,BK 1 C SINGLE PHASE TRANSFORMER,ETS.07.16310.TXFR,"HAAS PH, POWER TRANSFORMERS",DS1,0015,1940-06-01,,230.0,13.8,WYE,DELTA,50000.0,37500.0,1.0,WH,,OAP,N,FRESNO,GM&C,,,,N,0.0,0.0,41158253-dga_result,41158253-fq_result,41158253-pcb_result,41158253-moisture_result,41158253-furan_result,Westinghouse,6535086,[INST],,,OA/FA,55.0,,,,,,37500.0,50000.0,,,ETS.TXFR,1940-06-01,,,9.8,,,,WEC,,,,,,,,,,,
41158253,HAAS PH,1,0.2,43,D,ETS.07.16310-41158253,41158253,[INSV],ETS.07.16310,"Haas Ph, Fresno Hq",TIER 2,HFRA Addition,Central Valley,Fresno,Fresno,BK 1C,BK 1 C SINGLE PHASE TRANSFORMER,ETS.07.16310.TXFR,"HAAS PH, POWER TRANSFORMERS",DS1,0015,1940-06-01,,230.0,13.8,WYE,DELTA,50000.0,37500.0,1.0,WH,,OAP,N,FRESNO,GM&C,,,,N,0.0,0.0,41158253-dga_result,41158253-fq_result,41158253-pcb_result,41158253-moisture_result,41158253-furan_result,Westinghouse,6535086,[INST],,,OA/FA,55.0,,,,,,37500.0,50000.0,,,ETS.TXFR,1940-06-01,,,9.8,,,,WEC,,,,,,,,,,,
41158254,HAAS PH,1,0.2,43,D,ETS.07.16310-41158254,41158254,"[INSV, spar]",ETS.07.16310,"Haas Ph, Fresno Hq",TIER 2,HFRA Addition,Central Valley,Fresno,Fresno,BK 1SP,BK 1 SP SINGLE PHASE TRANSFORMER,ETS.07.16310.TXFR,"HAAS PH, POWER TRANSFORMERS",DS1,0020,1940-06-01,,230.0,13.8,WYE,DELTA,50000.0,37500.0,1.0,WH,,OAP,N,FRESNO,GM&C,,,,N,0.0,0.0,41158254-dga_result,41158254-fq_result,41158254-pcb_result,41158254-moisture_result,41158254-furan_result,Westinghouse,6535087,[INST],,,OA/FA,55.0,,,,,,37500.0,50000.0,,,ETS.TXFR,1940-06-01,,,9.8,,,,WEC,,,,,,,,,,,
41158254,HAAS PH,1,0.2,44,T,ETS.07.16310-41158254,41158254,"[INSV, spar]",ETS.07.16310,"Haas Ph, Fresno Hq",TIER 2,HFRA Addition,Central Valley,Fresno,Fresno,BK 1SP,BK 1 SP SINGLE PHASE TRANSFORMER,ETS.07.16310.TXFR,"HAAS PH, POWER TRANSFORMERS",DS1,0020,1940-06-01,,230.0,13.8,WYE,DELTA,50000.0,37500.0,1.0,WH,,OAP,N,FRESNO,GM&C,,,,N,0.0,0.0,41158254-dga_result,41158254-fq_result,41158254-pcb_result,41158254-moisture_result,41158254-furan_result,Westinghouse,6535087,[INST],,,OA/FA,55.0,,,,,,37500.0,50000.0,,,ETS.TXFR,1940-06-01,,,9.8,,,,WEC,,,,,,,,,,,
44918680,PIT #1 PH SUB,3,0.014106999772037372,13,T,ETS.02.10143-44918680,44918680,[INSV],ETS.02.10143,"Pit #1 Ph, Cottonwood Hq",TIER 2,HFRA Addition,North Valley & Sierra,North Valley,Shasta,BK 3,BK 3 3 PHASE TRANSFORMER WITH LTC,ETS.02.10143.TXFR,"PIT #1 PH, POWER TRANSFORMERS",DS1,BK 3,2020-06-03,2020-10-30,60.0,12.0,WYE,DELTA,30000.0,18000.0,3.0,HYUNDAI,2019,TM1187A11,Y,COTTONWD,GM&C,N,,,N,0.0,0.0,44918680-dga_result,44918680-fq_result,44918680-pcb_result,44918680-moisture_result,44918680-furan_result,Hyundai,20171115TFB006,[INST],,,ONAN/ONAF/ONAF,60.0,11.0,60.0,2019,,,18000.0,24000.0,30000.0,,ETS.TXFR,2019-01-01,N,,8.1,5337.0,NO,,,,11550.0,11275.0,11000.0,10275.0,10450.0,,,,,
44918680,PIT #1 PH,3,0.014106999772037372,13,D,ETS.02.10143-44918680,44918680,[INSV],ETS.02.10143,"Pit #1 Ph, Cottonwood Hq",TIER 2,HFRA Addition,North Valley & Sierra,North Valley,Shasta,BK 3,BK 3 3 PHASE TRANSFORMER WITH LTC,ETS.02.10143.TXFR,"PIT #1 PH, POWER TRANSFORMERS",DS1,BK 3,2020-06-03,2020-10-30,60.0,12.0,WYE,DELTA,30000.0,18000.0,3.0,HYUNDAI,2019,TM1187A11,Y,COTTONWD,GM&C,N,,,N,0.0,0.0,44918680-dga_result,44918680-fq_result,44918680-pcb_result,44918680-moisture_result,44918680-furan_result,Hyundai,20171115TFB006,[INST],,,ONAN/ONAF/ONAF,60.0,11.0,60.0,2019,,,18000.0,24000.0,30000.0,,ETS.TXFR,2019-01-01,N,,8.1,5337.0,NO,,,,11550.0,11275.0,11000.0,10275.0,10450.0,,,,,
45247388,PIT #1 PH SUB,3,0.05,23,T,ETS.02.10143-45247388,45247388,[INSV],ETS.02.10143,"Pit #1 Ph, Cottonwood Hq",TIER 2,HFRA Addition,North Valley & Sierra,North Valley,Shasta,BK 2,BK 2 3 PHASE TRANSFORMER,ETS.02.10143.TXFR,"PIT #1 PH, POWER TRANSFORMERS",DS1,BK 2,2022-03-01,2022-04-29,230.0,12.0,WYE,DELTA,100000.0,60000.0,3.0,WAUKESHA,2021,100MVA GSU,N,COTTONWD,GM&C,N,,,N,0.0,0.0,45247388-dga_result,45247388-fq_result,45247388-pcb_result,45247388-moisture_result,45247388-furan_result,WAUKESHA,WT05402,[INST],,,ONAN/ONAF/ONAF,60.0,230.0,11.0,2021,,,60000.0,80000.0,100000.0,,ETS.TXFR,,Y,,10.37,8870.0,NO,,,,,,,,,,,,,
45247388,PIT #1 PH,3,0.05,24,D,ETS.02.10143-45247388,45247388,[INSV],ETS.02.10143,"Pit #1 Ph, Cottonwood Hq",TIER 2,HFRA Addition,North Valley & Sierra,North Valley,Shasta,BK 2,BK 2 3 PHASE TRANSFORMER,ETS.02.10143.TXFR,"PIT #1 PH, POWER TRANSFORMERS",DS1,BK 2,2022-03-01,2022-04-29,230.0,12.0,WYE,DELTA,100000.0,60000.0,3.0,WAUKESHA,2021,100MVA GSU,N,COTTONWD,GM&C,N,,,N,0.0,0.0,45247388-dga_result,45247388-fq_result,45247388-pcb_result,45247388-moisture_result,45247388-furan_result,WAUKESHA,WT05402,[INST],,,ONAN/ONAF/ONAF,60.0,230.0,11.0,2021,,,60000.0,80000.0,100000.0,,ETS.TXFR,,Y,,10.37,8870.0,NO,,,,,,,,,,,,,
