Equipment,Substation Name,1_3,POF,"Reliability Risk Matrix (PoF,CoF)",line,substation_transformer_id,sap_equipment_id,user_status,substation_id,substation_name,substation_hftd,substation_hfra,substation_region,substation_division,substation_county,bank_id,equipment_description,functional_location,functional_location_desc,planner_group,position,install_date,in_service_date,nominal_voltages_primary_kv,nominal_voltages_secondary_kv,primary_winding_connection,secondary_winding_connection,nameplate_cap_max_kva,base_kva,phase,manufacturer,vintage,manufacturer_model_number,ltc_present,main_workcenter,unit_substation,fuse_protected,pressure_relief_mfr,pressure_relief_model_number,extreme_pressure_relief_device_present,latitude,longitude,toa_dga_result_ts_id,toa_fq_result_ts_id,toa_pcb_result_ts_id,toa_moisture_result_ts_id,toa_furan_result_ts_id,manufacturer_description,manufacture_serial_number,system_status,nominal_voltages_tertiary_kv,tertiary_winding_connection,cooling_stage,temp_rise_deg_c,primary_rated_voltage,secondary_rated_voltage,year_of_manufacture,iron_losses,copper_losses,nameplate_cap_rating_1_kva,nameplate_cap_rating_2_kva,nameplate_cap_rating_3_kva,rated_tertiary_kva,equipment_type,manufactured,oil_directed_piping,insulating_fluid_type,impedance_pct,oil_total_gals,online_dga_monitor,rewound,pre_bt_mfr_value,winding_material,nlt_a_1_pri_rated_voltage_v,nlt_b_2_pri_rated_voltage_v,nlt_c_3_pri_rated_voltage_v,nlt_d_4_pri_rated_voltage_v,nlt_e_5_pri_rated_voltage_v,nlt_a_1_sec_rated_voltage_v,nlt_b_2_sec_rated_voltage_v,nlt_c_3_sec_rated_voltage_v,nlt_d_4_sec_rated_voltage_v,nlt_e_5_sec_rated_voltage_v
42735572,ARCO SUB,3,0.014276264120742378,14,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43144204,ARCO SUB,3,0.02,14,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42553779,BRIDGEVILLE SUB,3,0.0709820939784114,24,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42734697,BUTTE SUB,3,0.05,24,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41184033,CHRISTIE SUB,3,0.014207568156047836,14,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40989612,COBURN SUB,3,0.025,14,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42686386,CONTRA COSTA SUB,3,0.05,24,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42686875,CORTINA SUB,3,0.01427758067418325,14,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40989631,EAGLE ROCK SUB,3,0.04,24,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42692025,GATES SUB,3,0.02,14,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40989656,GOLD HILL SUB,3,0.07,24,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42626324,HENRIETTA SUB,3,0.014567212365103442,14,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44611881,KASSON SUB,3,0.014554854326212494,14,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40989714,MENDOCINO SUB,3,0.1,34,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42695718,MENDOTA SUB,3,0.05,24,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40989681,NEW KEARNEY SUB,3,0.07,24,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42710844,PLACER SUB,3,0.03,14,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40989524,SOBRANTE SUB,3,0.030800838784043452,14,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40989800,VALLEY SPRINGS SUB,3,0.05,24,T,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
