Equipment,Substation Name,POF,"Reliability Risk Matrix (PoF,CoF)",line,type,Equipment Type,Date,Age,Failure Type,_merge
42757556,PAUL SWEET SUB,0.061257932492851296,23,D,BRKR,,,,,left_only
43163754,SWIFT SUB,0.0541926921650537,23,D,BRKR,,,,,left_only
42757558,PAUL SWEET SUB,0.0636579324928513,23,D,BRKR,,,,,left_only
44641543,EDENVALE SUB,0.029424347433840366,13,D,BRKR,,,,,left_only
42604437,HICKS SUB,0.09120277546261188,23,D,BRKR,,,,,left_only
42757560,PAUL SWEET SUB,0.0618079324928513,23,D,BRKR,,,,,left_only
43134859,PAUL SWEET SUB,0.06219921608303319,23,D,BRKR,,,,,left_only
42708698,HICKS SUB,0.09435277546261187,23,D,BRKR,,,,,left_only
44609455,SWIFT SUB,0.033653679776081066,23,D,BRKR,,,,,left_only
42748473,HALF MOON BAY SUB,0.0633079324928513,23,D,BRKR,,,,,left_only
44166173,OAKLAND J SUB,0.3928638237650755,43,D,BRKR,,,,,left_only
43209709,MCKEE SUB,0.0582717860848559,23,D,BRKR,,,,,left_only
42604435,HICKS SUB,0.08620277546261187,23,D,BRKR,,,,,left_only
44181045,BAY MEADOWS SUB,0.03753223435026058,23,D,BRKR,,,,,left_only
44152687,LOS OSITOS SUB,0.04542081214804273,23,D,BRKR,,,,,left_only
42707963,SAN JOSE A SUB,0.06653528977201102,23,D,BRKR,,,,,left_only
45671451,GATES SUB,0.0185,13,D,BRKR,,,,,left_only
45671449,GATES SUB,0.0179,13,D,BRKR,,,,,left_only
44615597,SAN JOSE A SUB,0.052138730059969,23,D,BRKR,,,,,left_only
42685099,FIGARDEN SUB,0.07390963193088299,23,D,BRKR,,,,,left_only
42627121,BULLARD SUB,0.08406980168621214,23,D,BRKR,,,,,left_only
42705240,SONOMA A SUB,0.06598528977201103,23,D,BRKR,,,,,left_only
42745921,SUISUN SUB,0.07187386581385727,23,D,BRKR,,,,,left_only
42688662,COLUMBUS SUB,0.09338065224515682,23,D,BRKR,,,,,left_only
43182384,DAIRYLAND SUB,0.0625717860848559,23,D,BRKR,,,,,left_only
42707426,CHOWCHILLA SUB,0.10047574212447571,33,D,BRKR,,,,,left_only
42745980,HALF MOON BAY SUB,0.0616079324928513,23,D,BRKR,,,,,left_only
44192852,MANCHESTER SUB,0.047882709342532914,23,D,BRKR,,,,,left_only
42707428,MADERA SUB,0.09327852585146754,23,D,BRKR,,,,,left_only
44192853,MANCHESTER SUB,0.04768270934253291,23,D,BRKR,,,,,left_only
42723291,WAHTOKE SUB,0.099082607973051,23,D,BRKR,,,,,left_only
42700274,SANTA ROSA A SUB,0.06558528977201103,23,D,BRKR,,,,,left_only
44192854,MANCHESTER SUB,0.048982709342532904,22,D,BRKR,,,,,left_only
44192855,MANCHESTER SUB,0.04843270934253291,22,D,BRKR,,,,,left_only
44192856,MANCHESTER SUB,0.047882709342532914,22,D,BRKR,,,,,left_only
44170288,EUREKA E SUB,0.05034408345935974,22,D,BRKR,,,,,left_only
44182449,KINGSBURG SUB,0.04728270934253291,22,D,BRKR,,,,,left_only
42708066,LINCOLN SUB,0.06862277746794156,22,D,BRKR,,,,,left_only
43164197,CRESSEY SUB,0.05613851579662496,22,D,BRKR,,,,,left_only
44438098,COLUMBUS SUB,0.04332731566509583,22,D,BRKR,,,,,left_only
42684105,ORO FINO SUB,0.07340984685285352,22,D,BRKR,,,,,left_only
40991534,PARADISE SUB,0.15925789291928844,32,D,BRKR,,,,,left_only
42704043,LOCKHEED #2 SUB,0.08500369417407733,22,D,BRKR,,,,,left_only
44226109,COTTLE SUB,0.037855576542254035,22,D,BRKR,,,,,left_only
42620231,FRUITVALE SUB,0.08975277546261187,22,D,BRKR,,,,,left_only
44170297,SHAFTER SUB,0.047582709342532906,22,D,BRKR,,,,,left_only
44448375,TRACY SUB,0.04297731566509583,22,D,BRKR,,,,,left_only
42712111,BUTTE SUB,0.06453699368444546,22,D,BRKR,,,,,left_only
44152547,STILLWATER SUB,0.05426602186541159,22,D,BRKR,,,,,left_only
44197854,MALAGA SUB,0.048582709342532907,22,D,BRKR,,,,,left_only
43182383,DAIRYLAND SUB,0.0584217860848559,22,D,BRKR,,,,,left_only
43203391,DAIRYLAND SUB,0.0560717860848559,22,D,BRKR,,,,,left_only
44170093,LAWRENCE SUB,0.04632731566509583,22,D,BRKR,,,,,left_only
43182382,DAIRYLAND SUB,0.055471786084855895,22,D,BRKR,,,,,left_only
42673410,LINDEN SUB,0.074959631930883,22,D,BRKR,,,,,left_only
42744273,MERIDIAN SUB,0.07095970210864688,22,D,BRKR,,,,,left_only
42744274,MERIDIAN SUB,0.06727791519200763,22,D,BRKR,,,,,left_only
42834671,SAN BRUNO SUB,0.056899216083033194,22,D,BRKR,,,,,left_only
44170299,PARLIER SUB,0.04851225130359063,22,D,BRKR,,,,,left_only
42842018,SAN BRUNO SUB,0.05439921608303319,22,D,BRKR,,,,,left_only
42837771,SAN BRUNO SUB,0.054249216083033194,22,D,BRKR,,,,,left_only
42761002,CHICO A SUB,0.06967791519200761,22,D,BRKR,,,,,left_only
42673601,TRACY SUB,0.075709631930883,22,D,BRKR,,,,,left_only
45469844,CONTRA COSTA SUB,0.0128,13,D,BRKR,,,,,left_only
45592413,MONTAGUE SUB,0.015,13,D,BRKR,,,,,left_only
45458190,ROSSMOOR SUB,0.0412,23,D,BRKR,,,,,left_only
45541733,PRUNEDALE SUB,0.0388,23,D,BRKR,,,,,left_only
45268499,COLUSA SUB,0.0492,22,D,BRKR,,,,,left_only
45268497,COLUSA SUB,0.0479,22,D,BRKR,,,,,left_only
40991863,LAS POSITAS SUB,0.7075,53,D,BRKR,,,,,left_only
40991862,LAS POSITAS SUB,0.5875,43,D,BRKR,,,,,left_only
40990059,NEWARK SUB,0.508468085106383,43,D,BRKR,,,,,left_only
40990060,NEWARK SUB,0.508468085106383,43,D,BRKR,,,,,left_only
40990061,NEWARK SUB,0.508468085106383,43,D,BRKR,,,,,left_only
40991300,WEIMAR SUB,0.1874297525915433,32,D,BRKR,,,,,left_only
41340176,FAIRWAY SUB,0.09936922774510103,23,D,BRKR,,,,,left_only
41340169,FAIRWAY SUB,0.09896922774510103,23,D,BRKR,,,,,left_only
41333381,BRITTON SUB,0.10103128415617524,32,D,BRKR,,,,,left_only
43210209,EL PATIO SUB,0.059121786084855896,22,D,BRKR,,,,,left_only
44076578,SALINAS SUB,0.053418554527004405,23,D,BRKR,,,,,left_only
45247494,PLACERVILLE SUB,0.0247,13,D,BRKR,,,,,left_only
44228643,COTTLE SUB,0.03655557654225403,23,D,BRKR,,,,,left_only
44369037,CLAYTON SUB,0.03647731566509583,23,D,BRKR,,,,,left_only
44702235,COTTLE SUB,0.024890709064993816,13,D,BRKR,,,,,left_only
44188133,SANTA ROSA A SUB,0.039055576542254035,23,D,BRKR,,,,,left_only
45666886,FIGARDEN SUB,0.0144,13,D,BRKR,,,,,left_only
43703281,PEABODY SUB,0.043683532752609194,23,D,BRKR,,,,,left_only
44310694,HENRIETTA SUB,0.035827302595257404,23,D,BRKR,,,,,left_only
44614781,BUCKS CREEK PH,0.02993584791481179,13,D,BRKR,,,,,left_only
45179781,MONTAGUE SUB,0.018515109383064794,13,D,BRKR,,,,,left_only
45372177,LLAGAS SUB,0.01638861903044595,13,D,BRKR,,,,,left_only
44152571,SANTA MARIA SUB,0.044320812148042725,23,D,BRKR,,,,,left_only
45330180,MOUNTAIN VIEW SUB,0.0421,23,D,BRKR,,,,,left_only
45400396,PLACER SUB,0.0433,23,D,BRKR,,,,,left_only
44308862,VINEYARD SUB,0.0359773025952574,23,D,BRKR,,,,,left_only
42704660,PEORIA SUB,0.09397678233672449,23,D,BRKR,,,,,left_only
45170524,VALLEY SPRINGS SUB,0.0365,23,D,BRKR,,,,,left_only
43225157,BARTON SUB,0.059421786084855904,23,D,BRKR,,,,,left_only
45204829,SAN FRAN A (POTRERO PP) SUB,0.0234,13,D,BRKR,,,,,left_only
45628493,MCCALL SUB,0.0146,13,D,BRKR,,,,,left_only
44294388,MANCHESTER SUB,0.047332709342532905,23,D,BRKR,,,,,left_only
42714910,EAST GRAND SUB,0.06953188194714219,23,D,BRKR,,,,,left_only
43222589,BRUNSWICK SUB,0.06116438009277347,23,D,BRKR,,,,,left_only
44160981,SANTA MARIA SUB,0.04929408345935974,23,D,BRKR,,,,,left_only
43683774,ALPAUGH SUB,0.046131440155903564,23,D,BRKR,,,,,left_only
45756062,ROSSMOOR SUB,0.0176,13,D,BRKR,,,,,left_only
44156089,JOLON SUB,0.04293498282519051,23,D,BRKR,,,,,left_only
45170528,VALLEY SPRINGS SUB,0.0379,23,D,BRKR,,,,,left_only
45170526,VALLEY SPRINGS SUB,0.0373,23,D,BRKR,,,,,left_only
45612077,ROSSMOOR SUB,0.0212,13,D,BRKR,,,,,left_only
45707352,OAKLAND J SUB,0.0183,13,D,BRKR,,,,,left_only
44294384,MANCHESTER SUB,0.047882709342532914,23,D,BRKR,,,,,left_only
44197873,CORDELIA SUB,0.05008270934253291,23,D,BRKR,,,,,left_only
42706745,TULARE LAKE SUB,0.05398528977201102,23,D,BRKR,,,,,left_only
45297040,MILPITAS SUB,0.0422,22,D,BRKR,,,,,left_only
45618745,CAPAY SUB,0.0226,12,D,BRKR,,,,,left_only
45464214,SYCAMORE CREEK SUB,0.0389,22,D,BRKR,,,,,left_only
45021246,PARADISE SUB,0.022726540573916355,12,D,BRKR,,,,,left_only
45397625,PLACER SUB,0.0492,22,D,BRKR,,,,,left_only
43226525,CORCORAN SUB,0.0579217860848559,22,D,BRKR,,,,,left_only
43226524,CORCORAN SUB,0.0585217860848559,22,D,BRKR,,,,,left_only
45397623,PLACER SUB,0.041,22,D,BRKR,,,,,left_only
43226544,CORCORAN SUB,0.0581717860848559,22,D,BRKR,,,,,left_only
42709198,SCHINDLER SUB,0.054285289772011025,22,D,BRKR,,,,,left_only
43705223,LAWRENCE SUB,0.053633532752609195,22,D,BRKR,,,,,left_only
42709194,SCHINDLER SUB,0.05373528977201102,22,D,BRKR,,,,,left_only
43591391,REDWOOD CITY SUB,0.04527789748661662,22,D,BRKR,,,,,left_only
42709196,SCHINDLER SUB,0.06758528977201103,22,D,BRKR,,,,,left_only
44294389,MANCHESTER SUB,0.04963270934253291,22,D,BRKR,,,,,left_only
45427193,FMC SUB,0.023,12,D,BRKR,,,,,left_only
44223715,DOLAN RD SUB,0.04974408345935974,22,D,BRKR,,,,,left_only
44170296,CORDELIA SUB,0.0577,22,D,BRKR,,,,,left_only
45324531,BRITTON SUB,0.0448,22,D,BRKR,,,,,left_only
45477023,LAURELES SUB,0.0218,12,D,BRKR,,,,,left_only
44156088,JOLON SUB,0.04343498282519051,22,D,BRKR,,,,,left_only
42706748,TULARE LAKE SUB,0.06868528977201102,22,D,BRKR,,,,,left_only
45220145,ALPAUGH SUB,0.0375,22,D,BRKR,,,,,left_only
44680010,INDIAN FLAT SUB,0.03830768222466287,22,D,BRKR,,,,,left_only
45610620,RALSTON SUB,0.0234,12,D,BRKR,,,,,left_only
43183755,GATES SUB,0.04697350212480312,22,D,BRKR,,,,,left_only
44197871,CORDELIA SUB,0.050982709342532906,22,D,BRKR,,,,,left_only
44676304,JANES CREEK SUB,0.03920767785219537,22,D,BRKR,,,,,left_only
45235447,ELK SUB,0.0174,12,D,BRKR,,,,,left_only
42691680,MOUNTAIN VIEW SUB,0.09442656741475397,22,D,BRKR,,,,,left_only
45141854,MADISON SUB,0.0382,22,D,BRKR,,,,,left_only
44170294,EAST MARYSVILLE SUB,0.04243027606191704,22,D,BRKR,,,,,left_only
44162711,WEEDPATCH SUB,0.053788525494477456,22,D,BRKR,,,,,left_only
45547891,FRUITLAND SUB,0.0498,22,D,BRKR,,,,,left_only
43207716,WRIGHT SUB,0.0611717860848559,22,D,BRKR,,,,,left_only
44162064,TAMARACK SUB,0.05776602186541159,22,D,BRKR,,,,,left_only
43683795,ALPAUGH SUB,0.04438144015590356,22,D,BRKR,,,,,left_only
45298579,EAST GRAND SUB,0.0422,22,D,BRKR,,,,,left_only
43232107,HAMMONDS SUB,0.0575217860848559,22,D,BRKR,,,,,left_only
45547889,FRUITLAND SUB,0.0555,22,D,BRKR,,,,,left_only
43683786,ALPAUGH SUB,0.044281440155903566,22,D,BRKR,,,,,left_only
44162066,TAMARACK SUB,0.05796602186541158,22,D,BRKR,,,,,left_only
40991420,DIXON LANDING SUB,0.14556262599371786,33,D,BRKR,,,,,left_only
40991419,DIXON LANDING SUB,0.14521262599371787,33,D,BRKR,,,,,left_only
40991418,DIXON LANDING SUB,0.14631262599371786,33,D,BRKR,,,,,left_only
40991104,OAKLAND C (OAKLAND PP) SUB,0.765227647530151,53,D,BRKR,,,,,left_only
40991105,OAKLAND C (OAKLAND PP) SUB,0.6705309999332125,52,D,BRKR,,,,,left_only
41084490,BIG BASIN SUB,0.15548178319862938,32,D,BRKR,,,,,left_only
41084499,BIG BASIN SUB,0.15393178319862938,32,D,BRKR,,,,,left_only
41333996,COARSEGOLD SUB,0.11190271933845652,33,D,BRKR,,,,,left_only
41361600,COARSEGOLD SUB,0.10600271933845654,33,D,BRKR,,,,,left_only
40991299,HORSESHOE SUB,0.14865789291928844,32,D,BRKR,,,,,left_only
40991645,CURTIS SUB,0.1441318512526218,33,D,BRKR,,,,,left_only
40991634,CURTIS SUB,0.13180789291928843,33,D,BRKR,,,,,left_only
40991644,CURTIS SUB,0.15420789291928844,33,D,BRKR,,,,,left_only
45562755,GREEN VALLEY SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45469808,VIEJO SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45487356,SARATOGA SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45619979,STOCKDALE SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45064014,COTTONWOOD SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45689359,KERN PP DIST SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45155550,BRENTWOOD SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45064043,SOLEDAD SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45090443,SANTA TERESA SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45636656,ALHAMBRA SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45064012,COTTONWOOD SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45183691,ROSSMOOR SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45427208,SARATOGA SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45168208,WHISMAN SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45759041,ZAMORA SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45759039,ZAMORA SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45090440,SANTA TERESA SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
44974188,RESERVATION ROAD,0.05421686746987951,23,D,BRKR,,,,,left_only
43702081,MADERA SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45427116,MALAGA SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45064048,SOLEDAD SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45308311,TYLER SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45592501,HOOPA SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45673866,BIG LAGOON SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45238843,STELLING SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
42742960,MORRO BAY DIST SUB,0.07331576705755655,23,D,BRKR,,,,,left_only
41340859,CAMP EVERS SUB,0.10677300178659237,33,D,BRKR,,,,,left_only
42626127,MORAGA SUB,0.09392574212447571,23,D,BRKR,,,,,left_only
45267809,TIVY VALLEY SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
41201470,LINCOLN SUB,0.11692175359670873,33,D,BRKR,,,,,left_only
41201464,LINCOLN SUB,0.11692175359670873,33,D,BRKR,,,,,left_only
42739595,ORLAND B SUB,0.07042791519200761,22,D,BRKR,,,,,left_only
41345378,UKIAH SUB,0.0874267758280837,22,D,BRKR,,,,,left_only
41184734,LLAGAS SUB,0.11771898424197882,32,D,BRKR,,,,,left_only
43155165,UPPER LAKE SUB,0.0670383428864007,22,D,BRKR,,,,,left_only
42712105,PARADISE SUB,0.06908699368444546,22,D,BRKR,,,,,left_only
45725572,PARADISE SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45249498,MORGAN HILL SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45090445,SANTA TERESA SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
44949682,HALF MOON BAY SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
45309648,JANES CREEK SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
41088866,STOREY SUB,0.1503207339764573,33,D,BRKR,,,,,left_only
42764292,GUERNSEY SUB,0.06143851579662496,23,D,BRKR,,,,,left_only
42764282,GUERNSEY SUB,0.07137386581385727,23,D,BRKR,,,,,left_only
42764281,GUERNSEY SUB,0.07252386581385727,23,D,BRKR,,,,,left_only
41201476,LINCOLN SUB,0.10514220814216328,32,D,BRKR,,,,,left_only
40990815,FELLOWS SUB,0.29766204989872797,42,D,BRKR,,,,,left_only
42764288,GUERNSEY SUB,0.06787386581385726,22,D,BRKR,,,,,left_only
42764289,GUERNSEY SUB,0.06762386581385726,22,D,BRKR,,,,,left_only
42764290,GUERNSEY SUB,0.07012386581385727,22,D,BRKR,,,,,left_only
42764291,GUERNSEY SUB,0.06233851579662496,22,D,BRKR,,,,,left_only
42764287,GUERNSEY SUB,0.07112386581385727,22,D,BRKR,,,,,left_only
40993649,SPRING GAP PH,0.28965454010460945,43,D,BRKR,,,,,left_only
43599280,LAKEWOOD SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
43184501,CALPELLA SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
43157492,MIRABEL SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
43171374,FORT BRAGG A SUB,0.05988659806902076,23,D,BRKR,,,,,left_only
43163588,MIRABEL SUB,0.0547926921650537,22,D,BRKR,,,,,left_only
44890248,EMERALD LAKE SUB,0.05421686746987951,22,D,BRKR,,,,,left_only
42710841,MADISON SUB,0.06593699368444546,22,D,BRKR,,,,,left_only
40994917,WATSONVILLE SUB,0.6239016007922484,42,D,BRKR,,,,,left_only
40996201,INDUSTRIAL ACRES SUB,0.9055882410997128,52,D,BRKR,,,,,left_only
40997206,SAN JOSE A SUB,0.7705656087257362,52,D,BRKR,,,,,left_only
40997205,SAN JOSE A SUB,0.7138156087257361,52,D,BRKR,,,,,left_only
40997210,SAN JOSE A SUB,0.7580656087257361,52,D,BRKR,,,,,left_only
40997202,SAN JOSE A SUB,0.7748156087257362,52,D,BRKR,,,,,left_only
40997209,SAN JOSE A SUB,0.7561125687273085,52,D,BRKR,,,,,left_only
40996200,INDUSTRIAL ACRES SUB,0.6869718939062445,52,D,BRKR,,,,,left_only
40996126,HOPLAND SUB,0.3010453956644681,42,D,BRKR,,,,,left_only
40995863,EAST GRAND SUB,0.6948436337243922,52,D,BRKR,,,,,left_only
40995861,EAST GRAND SUB,0.6463436337243922,42,D,BRKR,,,,,left_only
40995862,EAST GRAND SUB,0.6983436337243921,52,D,BRKR,BRKR,2025-01-27,74,JIT,both
40995507,BORONDA SUB,0.5313625687273084,42,D,BRKR,,,,,left_only
40996369,LOYOLA SUB,0.9435,52,D,BRKR,,,,,left_only
40996370,LOYOLA SUB,0.7838207774251481,52,D,BRKR,,,,,left_only
40996368,LOYOLA SUB,0.9203207774251481,52,D,BRKR,,,,,left_only
44196275,WEST SACRAMENTO SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
40991209,PLYMOUTH SUB,0.5067894984476561,42,D,BRKR,,,,,left_only
40992610,JUDAH SUB,0.7524377816398994,52,D,BRKR,,,,,left_only
40991687,WOOD SUB,0.922,52,D,BRKR,,,,,left_only
40991245,RANDOLPH SUB,0.7150777799015632,52,D,BRKR,,,,,left_only
40990584,BANCROFT SUB,0.9547124215151276,52,D,BRKR,,,,,left_only
40990777,EIGHTH AVE SUB,0.8897695362575271,52,D,BRKR,,,,,left_only
40991244,RANDOLPH SUB,0.6996877816398994,52,D,BRKR,,,,,left_only
40993229,OCEAN AVE SUB,0.7231877816398994,52,D,BRKR,,,,,left_only
40993495,SIXTH AVE SUB,0.5605388899507816,42,D,BRKR,,,,,left_only
40990453,ACTON SUB,0.21252349347858712,42,D,BRKR,,,,,left_only
40992611,JUDAH SUB,0.8271877816398994,52,D,BRKR,,,,,left_only
40992436,FELTON SUB,0.9026056207285738,52,D,BRKR,,,,,left_only
40992012,BEN LOMOND SUB,0.8961872674487843,52,D,BRKR,,,,,left_only
40991786,HOLLYWOOD SUB,0.8994731738826893,52,D,BRKR,,,,,left_only
40989966,WESTLAKE SUB,0.6900528103642869,52,D,BRKR,,,,,left_only
40993496,SIXTH AVE SUB,0.5440388899507815,42,D,BRKR,,,,,left_only
40992956,MIRA VISTA SUB,0.8165936337243922,52,D,BRKR,,,,,left_only
41117742,SAN JOAQUIN SUB,0.1223271278697883,32,D,BRKR,,,,,left_only
40991895,ACTON SUB,0.8994731738826893,52,D,BRKR,,,,,left_only
40993415,RUSSELL SUB,0.8068028103642868,52,D,BRKR,,,,,left_only
40989892,TWENTY-FIRST AVE SUB,0.686,52,D,BRKR,,,,,left_only
40993228,OCEAN AVE SUB,0.7845596935530237,52,D,BRKR,,,,,left_only
40993338,PORTOLA SUB,0.42034020044392767,42,D,BRKR,,,,,left_only
40993406,RANDOLPH SUB,0.8853755632797987,52,D,BRKR,,,,,left_only
40993176,OAK SUB,0.9435596935530237,52,D,BRKR,,,,,left_only
40989942,WALL SUB,0.774,52,D,BRKR,,,,,left_only
40990201,WALDO SUB,0.6635707774251481,52,D,BRKR,,,,,left_only
40992054,BROOKSIDE SUB,0.9377941205498563,52,D,BRKR,,,,,left_only
40990585,BANCROFT SUB,0.710122233000055,52,D,BRKR,,,,,left_only
40989891,TWENTY-FIRST AVE SUB,0.6990388899507816,52,D,BRKR,,,,,left_only
40993752,TARAVAL SUB,0.855,52,D,BRKR,,,,,left_only
40989967,WESTLAKE SUB,0.7995539176554765,52,D,BRKR,,,,,left_only
43598849,TWISSELMAN SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
43598852,TWISSELMAN SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
40992388,ESTUDILLO SUB,0.6902171934046053,52,D,BRKR,,,,,left_only
40993335,PARSONS SUB,0.6320707774251482,42,D,BRKR,,,,,left_only
40990696,CHICO C SUB,0.7305528103642869,52,D,BRKR,,,,,left_only
40996892,RACETRACK SUB,0.33962984865953716,43,D,BRKR,,,,,left_only
40995040,COLONY SUB,0.8891415548502962,52,D,BRKR,BRKR,2025-01-24,72,JIT,both
43198901,POSO MTN SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
43198903,POSO MTN SUB,0.05421686746987951,23,D,BRKR,,,,,left_only
40991922,ARLINGTON SUB,0.6943207774251481,52,D,BRKR,,,,,left_only
40993497,SIXTH AVE SUB,0.8993379822961726,52,D,BRKR,,,,,left_only
40990690,CASTRO SUB,0.9136759645923451,52,D,BRKR,,,,,left_only
40990595,BEACH ST,0.6249377816398993,42,D,BRKR,,,,,left_only
40993753,TARAVAL SUB,0.6310388899507816,42,D,BRKR,,,,,left_only
40990950,MAPLE SUB,0.745,52,D,BRKR,,,,,left_only
40993337,PORTOLA SUB,0.6642888899507816,52,D,BRKR,,,,,left_only
40990691,CASTRO SUB,0.9136759645923451,52,D,BRKR,,,,,left_only
40992958,MIRA VISTA SUB,0.754019536257527,52,D,BRKR,,,,,left_only
40990053,YOSEMITE SUB,0.7905936337243922,52,D,BRKR,,,,,left_only
40992509,GILL SUB,0.7010936337243922,52,D,BRKR,,,,,left_only
40992245,CASSERLY SUB,0.89274446600011,52,D,BRKR,,,,,left_only
40991923,ARANA SUB,0.944,52,D,BRKR,,,,,left_only
40991765,SULLIVAN SUB,0.7115388899507815,52,D,BRKR,,,,,left_only
40991548,SARANAP SUB,0.644122233000055,42,D,BRKR,,,,,left_only
40990808,FLORENCE SUB,0.8827695362575271,52,D,BRKR,,,,,left_only
40991948,BABEL SUB,0.8885,52,D,BRKR,,,,,left_only
40990796,FIGARDEN SUB,0.2057420079959672,43,D,BRKR,,,,,left_only
40991784,FIGARDEN SUB,0.2094920079959672,43,D,BRKR,,,,,left_only
40991702,FIGARDEN SUB,0.2124920079959672,43,D,BRKR,,,,,left_only
40990798,FIGARDEN SUB,0.2139920079959672,43,D,BRKR,,,,,left_only
40990800,FIGARDEN SUB,0.2052420079959672,43,D,BRKR,,,,,left_only
40990799,FIGARDEN SUB,0.7027420079959672,53,D,BRKR,,,,,left_only
40990477,ASHLAN AVE SUB,0.4951132314719597,43,D,BRKR,,,,,left_only
40990478,ASHLAN AVE SUB,0.4951132314719597,43,D,BRKR,,,,,left_only
40990476,ASHLAN AVE SUB,0.4951132314719597,43,D,BRKR,,,,,left_only
41024905,ASHLAN AVE SUB,0.4951132314719597,43,D,BRKR,,,,,left_only
40991926,ASHLAN AVE SUB,0.823,53,D,BRKR,,,,,left_only
40991925,ASHLAN AVE SUB,0.778,53,D,BRKR,,,,,left_only
40991929,ASHLAN AVE SUB,0.7323066157359799,53,D,BRKR,,,,,left_only
40991928,ASHLAN AVE SUB,0.7265566157359798,53,D,BRKR,,,,,left_only
40991924,ASHLAN AVE SUB,0.4951132314719597,43,D,BRKR,,,,,left_only
40991927,ASHLAN AVE SUB,0.4951132314719597,43,D,BRKR,,,,,left_only
41024906,ASHLAN AVE SUB,0.4951132314719597,43,D,BRKR,,,,,left_only
