Equipment,Substation Name,"Reliability Risk Matrix (PoF,CoF)",line,type,Equipment Type,Date,Age,Failure Type,_merge
42757556,PAUL SWEET SUB,23,D,BRKR,,,,,left_only
43163754,SWIFT SUB,23,D,BRKR,,,,,left_only
42757558,PAUL SWEET SUB,23,D,BRKR,,,,,left_only
44641543,EDENVALE SUB,13,D,BRKR,,,,,left_only
42604437,HICKS SUB,23,D,BRKR,,,,,left_only
42757560,PAUL SWEET SUB,23,D,BRKR,,,,,left_only
43134859,PAUL SWEET SUB,23,D,BRKR,,,,,left_only
42708698,HICKS SUB,23,D,BRKR,,,,,left_only
44609455,SWIFT SUB,23,D,BRKR,,,,,left_only
42748473,HALF MOON BAY SUB,23,D,BRKR,,,,,left_only
44166173,OAKLAND J SUB,43,D,BRKR,,,,,left_only
43209709,MCKEE SUB,23,D,BRKR,,,,,left_only
42604435,HICKS SUB,23,D,BRKR,,,,,left_only
44181045,BAY MEADOWS SUB,23,D,BRKR,,,,,left_only
44152687,LOS OSITOS SUB,23,D,BRKR,,,,,left_only
42707963,SAN JOSE A SUB,23,D,BRKR,,,,,left_only
45671451,GATES SUB,13,D,BRKR,,,,,left_only
45671449,GATES SUB,13,D,BRKR,,,,,left_only
44615597,SAN JOSE A SUB,23,D,BRKR,,,,,left_only
42685099,FIGARDEN SUB,23,D,BRKR,,,,,left_only
42627121,BULLARD SUB,23,D,BRKR,,,,,left_only
42705240,SONOMA A SUB,23,D,BRKR,,,,,left_only
42745921,SUISUN SUB,23,D,BRKR,,,,,left_only
42688662,COLUMBUS SUB,23,D,BRKR,,,,,left_only
43182384,DAIRYLAND SUB,23,D,BRKR,,,,,left_only
42707426,CHOWCHILLA SUB,33,D,BRKR,,,,,left_only
42745980,HALF MOON BAY SUB,23,D,BRKR,,,,,left_only
44192852,MANCHESTER SUB,23,D,BRKR,,,,,left_only
42707428,MADERA SUB,23,D,BRKR,,,,,left_only
44192853,MANCHESTER SUB,23,D,BRKR,,,,,left_only
42723291,WAHTOKE SUB,23,D,BRKR,,,,,left_only
42700274,SANTA ROSA A SUB,23,D,BRKR,,,,,left_only
44192854,MANCHESTER SUB,22,D,BRKR,,,,,left_only
44192855,MANCHESTER SUB,22,D,BRKR,,,,,left_only
44192856,MANCHESTER SUB,22,D,BRKR,,,,,left_only
44170288,EUREKA E SUB,22,D,BRKR,,,,,left_only
44182449,KINGSBURG SUB,22,D,BRKR,,,,,left_only
42708066,LINCOLN SUB,22,D,BRKR,,,,,left_only
43164197,CRESSEY SUB,22,D,BRKR,,,,,left_only
44438098,COLUMBUS SUB,22,D,BRKR,,,,,left_only
42684105,ORO FINO SUB,22,D,BRKR,,,,,left_only
