Equipment,Substation Name,POF,"Reliability Risk Matrix (PoF,CoF)",line,type,Equipment Type,Date,Age,Failure Type,_merge
41013832,RECLAMATION DIST#2047,0.5,42,D,TXFR,,,,,left_only
41015294,RECLAMATION DIST#2047,0.5,42,D,TXFR,,,,,left_only
41160708,RECLAMATION DIST#999,0.5,42,D,TXFR,,,,,left_only
41160706,RECLAMATION DIST#999,0.5,42,D,TXFR,,,,,left_only
41160707,RECLAMATION DIST#999,0.5,42,D,TXFR,,,,,left_only
41013883,RUSS RANCH,0.5,43,D,TXFR,,,,,left_only
41013802,PLYMOUTH,0.5,43,D,TXFR,,,,,left_only
41014459,ESQUON,0.5,42,D,TXFR,,,,,left_only
41015314,DEVILS DEN,0.5,42,D,TXFR,,,,,left_only
41014279,WATERSHED,0.5,42,D,TXFR,,,,,left_only
41014280,WATERSHED,0.5,42,D,TXFR,,,,,left_only
41014789,WATERSHED,0.5,42,D,TXFR,,,,,left_only
41014471,GRAYS FLAT,0.5,41,D,TXFR,,,,,left_only
41138818,COLUMBIA HILL,0.3,42,D,TXFR,,,,,left_only
41138819,COLUMBIA HILL,0.3,42,D,TXFR,,,,,left_only
41014196,ARANA,0.3,42,D,TXFR,,,,,left_only
41014221,ARANA,0.3,42,D,TXFR,,,,,left_only
41014235,ARANA,0.3,42,D,TXFR,,,,,left_only
41014953,TOCALOMA,0.3,42,D,TXFR,,,,,left_only
41013430,MERCY SPRINGS,0.3,42,D,TXFR,,,,,left_only
41013431,MERCY SPRINGS,0.3,42,D,TXFR,,,,,left_only
41013429,MERCY SPRINGS,0.3,42,D,TXFR,,,,,left_only
41013095,HAMILTON A,0.3,42,D,TXFR,,,,,left_only
41012235,HAMILTON A,0.3,42,D,TXFR,,,,,left_only
41013096,HAMILTON A,0.3,42,D,TXFR,,,,,left_only
41012234,HAMILTON A,0.3,42,D,TXFR,,,,,left_only
41015087,BERKELEY T,0.3,43,D,TXFR,,,,,left_only
41011899,RECLAMATION DIST#108,0.2,42,D,TXFR,,,,,left_only
41013827,RECLAMATION DIST#108,0.2,42,D,TXFR,,,,,left_only
41012313,IUKA,0.2,42,D,TXFR,,,,,left_only
41013185,IUKA,0.2,42,D,TXFR,,,,,left_only
41013184,IUKA,0.2,42,D,TXFR,,,,,left_only
41013183,IUKA,0.2,42,D,TXFR,,,,,left_only
41011900,RECLAMATION DIST#108,0.2,42,D,TXFR,,,,,left_only
41014067,SHREDDER,0.2,42,D,TXFR,,,,,left_only
41012450,MAINE PRAIRIE,0.2,42,D,TXFR,,,,,left_only
41014617,SHREDDER,0.2,42,D,TXFR,,,,,left_only
41012449,MAINE PRAIRIE,0.2,42,D,TXFR,,,,,left_only
41012451,MAINE PRAIRIE,0.2,42,D,TXFR,,,,,left_only
41012583,BIG RIVER,0.2,42,D,TXFR,,,,,left_only
41012585,BIG RIVER,0.2,42,D,TXFR,,,,,left_only
41012582,BIG RIVER,0.2,42,D,TXFR,,,,,left_only
41014145,RIDGE,0.2,42,D,TXFR,,,,,left_only
