Equipment,Substation Name,"Reliability Risk Matrix (PoF,CoF)",line,type,Equipment Type,Date,Age,Failure Type,_merge
41013832,RECLAMATION DIST#2047,42,D,TXFR,,,,,left_only
41015294,RECLAMATION DIST#2047,42,D,TXFR,,,,,left_only
41160708,RECLAMATION DIST#999,42,D,TXFR,,,,,left_only
41160706,RECLAMATION DIST#999,42,D,TXFR,,,,,left_only
41160707,RECLAMATION DIST#999,42,D,TXFR,,,,,left_only
41013883,RUSS RANCH,43,D,TXFR,,,,,left_only
41013802,PLYMOUTH,43,D,TXFR,,,,,left_only
41014459,ESQUON,42,D,TXFR,,,,,left_only
41015314,DEVILS DEN,42,D,TXFR,,,,,left_only
41014279,WATERSHED,42,D,TXFR,,,,,left_only
41014280,WATERSHED,42,D,TXFR,,,,,left_only
41014789,WATERSHED,42,D,TXFR,,,,,left_only
41014471,GRAYS FLAT,41,D,TXFR,,,,,left_only
41138818,COLUMBIA HILL,42,D,TXFR,,,,,left_only
41138819,COLUMBIA HILL,42,D,TXFR,,,,,left_only
41014196,ARANA,42,D,TXFR,,,,,left_only
41014221,ARANA,42,D,TXFR,,,,,left_only
41014235,ARANA,42,D,TXFR,,,,,left_only
41014953,TOCALOMA,42,D,TXFR,,,,,left_only
41013430,MERCY SPRINGS,42,D,TXFR,,,,,left_only
41013431,MERCY SPRINGS,42,D,TXFR,,,,,left_only
41013429,MERCY SPRINGS,42,D,TXFR,,,,,left_only
41013095,HAMILTON A,42,D,TXFR,,,,,left_only
41012235,HAMILTON A,42,D,TXFR,,,,,left_only
41013096,HAMILTON A,42,D,TXFR,,,,,left_only
41012234,HAMILTON A,42,D,TXFR,,,,,left_only
41015087,BERKELEY T,43,D,TXFR,,,,,left_only
41011899,RECLAMATION DIST#108,42,D,TXFR,,,,,left_only
41013827,RECLAMATION DIST#108,42,D,TXFR,,,,,left_only
41012313,IUKA,42,D,TXFR,,,,,left_only
41013185,IUKA,42,D,TXFR,,,,,left_only
41013184,IUKA,42,D,TXFR,,,,,left_only
41013183,IUKA,42,D,TXFR,,,,,left_only
41011900,RECLAMATION DIST#108,42,D,TXFR,,,,,left_only
41014067,SHREDDER,42,D,TXFR,,,,,left_only
41012450,MAINE PRAIRIE,42,D,TXFR,,,,,left_only
41014617,SHREDDER,42,D,TXFR,,,,,left_only
41012449,MAINE PRAIRIE,42,D,TXFR,,,,,left_only
41012451,MAINE PRAIRIE,42,D,TXFR,,,,,left_only
41012583,BIG RIVER,42,D,TXFR,,,,,left_only
41012585,BIG RIVER,42,D,TXFR,,,,,left_only
41012582,BIG RIVER,42,D,TXFR,,,,,left_only
41014145,RIDGE,42,D,TXFR,,,,,left_only
41014149,RIDGE,42,D,TXFR,,,,,left_only
41014150,RIDGE,42,D,TXFR,,,,,left_only
41014146,RIDGE,42,D,TXFR,,,,,left_only
41014396,RIDGE,42,D,TXFR,,,,,left_only
41014151,RIDGE,42,D,TXFR,,,,,left_only
41015088,BERKELEY T,52,D,TXFR,,,,,left_only
41013689,OROVILLE,42,D,TXFR,,,,,left_only
41015048,BECK,43,D,TXFR,,,,,left_only
41012081,FLORENCE,53,D,TXFR,,,,,left_only
41011985,EIGHTH AVE,43,D,TXFR,,,,,left_only
41012034,FAIRMOUNT,43,D,TXFR,,,,,left_only
41014218,TUDOR,42,D,TXFR,,,,,left_only
41013826,RECLAMATION DIST#108,42,D,TXFR,,,,,left_only
41013662,PETALUMA A,42,D,TXFR,,,,,left_only
41013658,PETALUMA A,42,D,TXFR,,,,,left_only
41013665,PETALUMA A,42,D,TXFR,,,,,left_only
41013784,POINT ARENA,42,D,TXFR,,,,,left_only
41014668,CATLETT,42,D,TXFR,,,,,left_only
41013761,PITTSBURG,41,D,TXFR,,,,,left_only
41014595,WESTLAKE,43,D,TXFR,,,,,left_only
41014201,TOCALOMA,42,D,TXFR,,,,,left_only
41014665,CAMPHORA,42,D,TXFR,,,,,left_only
41014955,TOCALOMA,42,D,TXFR,,,,,left_only
41012664,CAMPHORA,42,D,TXFR,,,,,left_only
41012663,CAMPHORA,42,D,TXFR,,,,,left_only
41014954,TOCALOMA,42,D,TXFR,,,,,left_only
41012662,CAMPHORA,42,D,TXFR,,,,,left_only
41012869,DAIRYVILLE,42,D,TXFR,,,,,left_only
41014183,TERMINOUS,42,D,TXFR,,,,,left_only
41014781,TERMINOUS,42,D,TXFR,,,,,left_only
41012061,GRAYS FLAT,41,D,TXFR,,,,,left_only
41012060,GRAYS FLAT,41,D,TXFR,,,,,left_only
41013828,RECLAMATION DIST#1500,42,D,TXFR,,,,,left_only
41013829,RECLAMATION DIST#1500,42,D,TXFR,,,,,left_only
41013831,RECLAMATION DIST#1500,42,D,TXFR,,,,,left_only
41013747,PETALUMA A,42,D,TXFR,,,,,left_only
41013804,POINT ARENA,42,D,TXFR,,,,,left_only
41013473,OLETA,42,D,TXFR,,,,,left_only
41013472,OLETA,42,D,TXFR,,,,,left_only
41013474,OLETA,42,D,TXFR,,,,,left_only
41012473,ACTON,43,D,TXFR,,,,,left_only
41013274,LAYTONVILLE,42,D,TXFR,,,,,left_only
41013272,LAYTONVILLE,42,D,TXFR,,,,,left_only
41013275,LAYTONVILLE,42,D,TXFR,,,,,left_only
41012730,CHALLENGE,42,D,TXFR,,,,,left_only
41014427,CHALLENGE,42,D,TXFR,,,,,left_only
41012727,CHALLENGE,42,D,TXFR,,,,,left_only
41013688,OROVILLE,42,D,TXFR,,,,,left_only
41013567,OROVILLE,42,D,TXFR,,,,,left_only
41013687,OROVILLE,42,D,TXFR,,,,,left_only
41011984,18th STREET,43,D,TXFR,,,,,left_only
41014932,BANCROFT,43,D,TXFR,,,,,left_only
41014567,SIXTH AVE,43,D,TXFR,,,,,left_only
41012710,CASTRO,43,D,TXFR,,,,,left_only
41012711,CASTRO,43,D,TXFR,,,,,left_only
41013302,OAKLAND K (CLAREMONT),43,D,TXFR,,,,,left_only
41013307,OAKLAND K (CLAREMONT),43,D,TXFR,,,,,left_only
41013306,OAKLAND K (CLAREMONT),43,D,TXFR,,,,,left_only
41014241,VALLEJO C,42,D,TXFR,,,,,left_only
41013811,POTTER VALLEY PH,42,D,TXFR,,,,,left_only
41013377,MARYSVILLE,43,D,TXFR,,,,,left_only
41013378,MARYSVILLE,43,D,TXFR,,,,,left_only
41014549,RECLAMATION DIST#2047,42,D,TXFR,,,,,left_only
41013099,HAMILTON A,42,D,TXFR,,,,,left_only
41013097,HAMILTON A,42,D,TXFR,,,,,left_only
41013098,HAMILTON A,42,D,TXFR,,,,,left_only
41012612,BUCKS CREEK,42,D,TXFR,,,,,left_only
41012018,BUCKS CREEK,42,D,TXFR,,,,,left_only
41012019,BUCKS CREEK,42,D,TXFR,,,,,left_only
41013310,OAK,43,D,TXFR,,,,,left_only
41015117,BROOKSIDE,43,D,TXFR,,,,,left_only
41014073,SIXTH AVE,43,D,TXFR,,,,,left_only
41014388,MIRA VISTA,43,D,TXFR,,,,,left_only
41014262,RUSSELL,43,D,TXFR,,,,,left_only
41014375,YOSEMITE,43,D,TXFR,,,,,left_only
41014843,CHICO C,43,D,TXFR,,,,,left_only
41014224,TWENTY-FIRST AVE,43,D,TXFR,,,,,left_only
41012320,JUDAH,43,D,TXFR,,,,,left_only
41014524,NOVATO,43,D,TXFR,,,,,left_only
41014904,TARAVAL,43,D,TXFR,,,,,left_only
41014903,TARAVAL,42,D,TXFR,,,,,left_only
41014928,SULLIVAN,42,D,TXFR,,,,,left_only
41013376,OCEAN AVE,42,D,TXFR,,,,,left_only
41015247,COPPERMINE,42,D,TXFR,,,,,left_only
41012645,CADET,42,D,TXFR,,,,,left_only
41015248,COPPERMINE,42,D,TXFR,,,,,left_only
41012644,CADET,42,D,TXFR,,,,,left_only
41015246,COPPERMINE,42,D,TXFR,,,,,left_only
41014416,CADET,42,D,TXFR,,,,,left_only
41015097,BIOLA,42,D,TXFR,,,,,left_only
41015098,BIOLA,42,D,TXFR,,,,,left_only
41015099,BIOLA,42,D,TXFR,,,,,left_only
41012589,BLUE LAKE,42,D,TXFR,,,,,left_only
45489572,AG WISHON PH,42,D,TXFR,,,,,left_only
45489574,AG WISHON PH,42,D,TXFR,,,,,left_only
45489575,AG WISHON PH,42,D,TXFR,,,,,left_only
41138820,COLUMBIA HILL,42,D,TXFR,,,,,left_only
41013791,POINT ARENA,42,D,TXFR,,,,,left_only
41012941,ELK CREEK,42,D,TXFR,,,,,left_only
41012943,ELK CREEK,42,D,TXFR,,,,,left_only
41011987,ELK CREEK,42,D,TXFR,,,,,left_only
41013503,ORICK,41,D,TXFR,,,,,left_only
41013669,ORICK,41,D,TXFR,,,,,left_only
41013670,ORICK,41,D,TXFR,,,,,left_only
41013504,ORICK,41,D,TXFR,,,,,left_only
41012860,CROWS LANDING,41,D,TXFR,,,,,left_only
41012862,CROWS LANDING,41,D,TXFR,,,,,left_only
41012859,CROWS LANDING,41,D,TXFR,,,,,left_only
41015254,COPUS,41,D,TXFR,,,,,left_only
41014406,WOOD,33,D,TXFR,,,,,left_only
41012269,HOLLYWOOD,33,D,TXFR,,,,,left_only
41013820,RANDOLPH,43,D,TXFR,,,,,left_only
41013061,GONZALES,33,D,TXFR,,,,,left_only
41012321,JUDAH,33,D,TXFR,,,,,left_only
41012299,HARTLEY,33,D,TXFR,,,,,left_only
41015085,BERESFORD,32,D,TXFR,,,,,left_only
41014144,STOCKTON ACRES,32,D,TXFR,,,,,left_only
41012536,AVENA,32,D,TXFR,,,,,left_only
41013432,MERCY SPRINGS,32,D,TXFR,,,,,left_only
41012384,LIVINGSTON,32,D,TXFR,,,,,left_only
41014384,LIVINGSTON,32,D,TXFR,,,,,left_only
41012383,LIVINGSTON,32,D,TXFR,,,,,left_only
41012573,BIG BASIN,32,D,TXFR,,,,,left_only
41013262,LAURELES,32,D,TXFR,,,,,left_only
41013264,LAURELES,32,D,TXFR,,,,,left_only
41013263,LAURELES,32,D,TXFR,,,,,left_only
41013265,LAURELES,32,D,TXFR,,,,,left_only
41012854,Salt Springs PH,32,D,TXFR,,,,,left_only
41013676,ORLAND B,42,D,TXFR,,,,,left_only
41014821,ORLAND B,42,D,TXFR,,,,,left_only
41012851,SALT SPRINGS PH,32,D,TXFR,,,,,left_only
41012853,SALT SPRINGS PH,32,D,TXFR,,,,,left_only
41013677,ORLAND B,32,D,TXFR,,,,,left_only
41013182,INDUSTRIAL ACRES,32,D,TXFR,,,,,left_only
41014484,INDUSTRIAL ACRES,32,D,TXFR,,,,,left_only
41013180,INDUSTRIAL ACRES,32,D,TXFR,,,,,left_only
41013181,INDUSTRIAL ACRES,32,D,TXFR,,,,,left_only
41012581,BIG RIVER,32,D,TXFR,,,,,left_only
41012579,BIG RIVER,32,D,TXFR,,,,,left_only
41012584,BIG RIVER,32,D,TXFR,,,,,left_only
41013991,RADUM,32,D,TXFR,,,,,left_only
41014395,RADUM,32,D,TXFR,,,,,left_only
41013011,MERCED FALLS PH,32,D,TXFR,,,,,left_only
41013008,MERCED FALLS PH,32,D,TXFR,,,,,left_only
41013007,MERCED FALLS PH,32,D,TXFR,,,,,left_only
41011894,DOBBINS,32,D,TXFR,,,,,left_only
41012151,GEYSERVILLE,32,D,TXFR,,,,,left_only
41013016,GERBER,32,D,TXFR,,,,,left_only
41013015,GERBER,42,D,TXFR,,,,,left_only
41014689,GERBER,42,D,TXFR,,,,,left_only
41013856,RIO BRAVO,32,D,TXFR,,,,,left_only
41013855,RIO BRAVO,32,D,TXFR,,,,,left_only
41011892,DOBBINS,32,D,TXFR,,,,,left_only
41011895,DOBBINS,32,D,TXFR,,,,,left_only
41015269,CATLETT,32,D,TXFR,,,,,left_only
41015270,CATLETT,32,D,TXFR,,,,,left_only
41012870,DAIRYVILLE,32,D,TXFR,,,,,left_only
41012017,ESQUON,32,D,TXFR,,,,,left_only
41012953,ESQUON,32,D,TXFR,,,,,left_only
41012016,ESQUON,32,D,TXFR,,,,,left_only
41012333,KETTLEMAN HILLS,31,D,TXFR,,,,,left_only
41014078,SMYRNA,41,D,TXFR,,,,,left_only
41014294,WELLFIELD,31,D,TXFR,,,,,left_only
41012332,KETTLEMAN HILLS,31,D,TXFR,,,,,left_only
41012334,KETTLEMAN HILLS,31,D,TXFR,,,,,left_only
41014222,TWENTY-FIRST AVE,43,D,TXFR,,,,,left_only
41014302,WESTLAKE,33,D,TXFR,,,,,left_only
41014750,RANDOLPH,33,D,TXFR,,,,,left_only
41013806,PORTOLA,33,D,TXFR,,,,,left_only
41013375,OCEAN AVE,32,D,TXFR,,,,,left_only
41014422,CAROLANDS,32,D,TXFR,,,,,left_only
41015212,CELERON HILL,32,D,TXFR,,,,,left_only
41015211,CELERON HILL,32,D,TXFR,,,,,left_only
41015213,CELERON HILL,32,D,TXFR,,,,,left_only
41014254,VASCO,32,D,TXFR,,,,,left_only
41012594,MENDOCINO,32,D,TXFR,,,,,left_only
41012587,MENDOCINO,32,D,TXFR,,,,,left_only
41012596,MENDOCINO,32,D,TXFR,,,,,left_only
41014663,BURNEY,32,D,TXFR,,,,,left_only
41012633,BURNEY,32,D,TXFR,,,,,left_only
41014410,AVENA,32,D,TXFR,,,,,left_only
41012535,AVENA,32,D,TXFR,,,,,left_only
41012534,AVENA,32,D,TXFR,,,,,left_only
41013909,SAN BRUNO,32,D,TXFR,,,,,left_only
41013908,SAN BRUNO,32,D,TXFR,,,,,left_only
41014555,SAN BRUNO,32,D,TXFR,,,,,left_only
41013874,ROCKLIN,32,D,TXFR,,,,,left_only
41012634,BURNEY,32,D,TXFR,,,,,left_only
41013568,NAPA,32,D,TXFR,,,,,left_only
41015079,BELLE HAVEN,32,D,TXFR,,,,,left_only
41015071,BELLE HAVEN,42,D,TXFR,,,,,left_only
41015054,BELLE HAVEN,32,D,TXFR,,,,,left_only
41012557,BELLE HAVEN,32,D,TXFR,,,,,left_only
41013374,MARSH,32,D,TXFR,,,,,left_only
41014506,MERCY SPRINGS,32,D,TXFR,,,,,left_only
41012647,CALAVERAS CEMENT,32,D,TXFR,,,,,left_only
41012646,CALAVERAS CEMENT,32,D,TXFR,,,,,left_only
41014417,CALAVERAS CEMENT,32,D,TXFR,,,,,left_only
41014726,SAN BRUNO,32,D,TXFR,,,,,left_only
41014729,SAN BRUNO,32,D,TXFR,,,,,left_only
41014721,SAN BRUNO,32,D,TXFR,,,,,left_only
41014768,AUBURN,32,D,TXFR,,,,,left_only
