substation_transformer_id,sap_equipment_id,user_status,substation_id,substation_name,substation_hftd,substation_hfra,substation_region,substation_division,substation_county,bank_id,equipment_description,functional_location,functional_location_desc,planner_group,position,install_date,in_service_date,nominal_voltages_primary_kv,nominal_voltages_secondary_kv,primary_winding_connection,secondary_winding_connection,nameplate_cap_max_kva,base_kva,phase,manufacturer,vintage,manufacturer_model_number,ltc_present,main_workcenter,unit_substation,fuse_protected,pressure_relief_mfr,pressure_relief_model_number,extreme_pressure_relief_device_present,latitude,longitude,toa_dga_result_ts_id,toa_fq_result_ts_id,toa_pcb_result_ts_id,toa_moisture_result_ts_id,toa_furan_result_ts_id,manufacturer_description,manufacture_serial_number,system_status,nominal_voltages_tertiary_kv,tertiary_winding_connection,cooling_stage,temp_rise_deg_c,primary_rated_voltage,secondary_rated_voltage,year_of_manufacture,iron_losses,copper_losses,nameplate_cap_rating_1_kva,nameplate_cap_rating_2_kva,nameplate_cap_rating_3_kva,rated_tertiary_kva,equipment_type,manufactured,oil_directed_piping,insulating_fluid_type,impedance_pct,oil_total_gals,online_dga_monitor,rewound,pre_bt_mfr_value,winding_material,nlt_a_1_pri_rated_voltage_v,nlt_b_2_pri_rated_voltage_v,nlt_c_3_pri_rated_voltage_v,nlt_d_4_pri_rated_voltage_v,nlt_e_5_pri_rated_voltage_v,nlt_a_1_sec_rated_voltage_v,nlt_b_2_sec_rated_voltage_v,nlt_c_3_sec_rated_voltage_v,nlt_d_4_sec_rated_voltage_v,nlt_e_5_sec_rated_voltage_v
ETS.87.00021-41011886,41011886,[REMV],ETS.87.00021,,,,,,,BK 1B,BK 1 B SINGLE PHASE TRANSFORMER- REMOVED,ETS.87.00021,VACA DIXON REMOVED EQUIPMENT,,,1951-01-01,,60.0,12.0,WYE,WYE,6250.0,5000.0,1,PENNSYLVANIA TRANSFORMER,,6250KVA,N,,DCS,N,,,N,0.0,0.0,,,,,,Pennsylvania Transformer,218833,"[INAC, INST]",,,,55.0,,,,8976.0,26125.0,5000.0,6250.0,,,ETS.TXFR,1951-01-01,,,7.1000000000000005,1730,,,PEN,,,,,,,,,,,
NA-41011887,41011887,[REMV],,,,,,,,BK 2-REMOVED,BK 2 3 PHASE TRANSFORMER WITH LTC-REMOVE,,,,,1976-05-28,,60.0,12.0,WYE,WYE,12500.0,,3,WH,,12MVA,Y,,DCS,N,QLTRL,,Y,0.0,0.0,,,,,,Westinghouse,PDS05281,"[AVLB, DLFL, INAC]",,,OA/FA,65.0,,,,13376.0,68958.0,10000.0,12500.0,,,ETS.TXFR,1976-01-01,,,7.51,4218,,,WEC,,,,,,,,,,,
ETS.87.00006-41011888,41011888,[REMV],ETS.87.00006,,,,,,,BK 1 C,BK 1 C SINGLE PHASE TRANSFORMER-REMOVED,ETS.87.00006,EUREKA REMOVED EQUIPMENT,,,1951-07-20,,60.0,12.0,WYE,WYE,6250.0,5000.0,1,ALLIS CHALMERS,,XXX,N,,DCS,N,ACC,,Y,0.0,0.0,,,,,,ALLIS CHALMERS2,2405404,"[INAC, INST]",2.4,DELTA,OA/FA,55.0,,,,9510.0,28758.0,5000.0,6250.0,,175.0,ETS.TXFR,1950-12-11,,,7.08,1660,,N,ACC,,,,,,,,,,,
ETS.87.00021-41011889,41011889,[REMV],ETS.87.00021,,,,,,,BK 1B C - REMV,BK 1- B C SINGLE PHASE TRANSFORMER-REMV,ETS.87.00021,VACA DIXON REMOVED EQUIPMENT,,,1947-01-01,,60.0,12.0,WYE,WYE,1150.0,1000.0,1,WH,,SL,N,,DCS,Y,QLTRL,,Y,0.0,0.0,,,,,,Westinghouse,4898887,"[INAC, INST]",2.4,,OA,55.0,,,,2080.0,8780.0,1000.0,1150.0,,,ETS.TXFR,1947-01-01,,,7.42,57,,N,WEC,,,,,,,,,,,
ETS.87.00021-41011890,41011890,[REMV],ETS.87.00021,,,,,,,BK 1B B-REMV,BK 1- B B SINGLE PHASE TRANSFORMER-REMV,ETS.87.00021,VACA DIXON REMOVED EQUIPMENT,,,1942-01-01,,60.0,12.0,WYE,WYE,1150.0,1000.0,1,WH,,SL,N,,DCS,Y,QLTRL,,Y,0.0,0.0,,,,,,Westinghouse,3260981,"[INAC, INST]",2.4,,OA,55.0,,,,3140.0,6764.0,1000.0,1150.0,,,ETS.TXFR,1942-01-01,,,7.42,57,,N,WEC,,,,,,,,,,,
ETS.87.00021-41011891,41011891,[REMV],ETS.87.00021,,,,,,,BK 1B A-REMV,BK 1- B A SINGLE PHASE TRANSFORMER-REMV,ETS.87.00021,VACA DIXON REMOVED EQUIPMENT,,,1945-01-01,,60.0,12.0,WYE,WYE,1150.0,1000.0,1,WH,,SL,N,,DCS,Y,QLTRL,,Y,0.0,0.0,,,,,,Westinghouse,2967075,"[INAC, INST]",2.4,,,55.0,,,,3400.0,6764.0,1000.0,1150.0,,,ETS.TXFR,1941-01-01,,,7.42,981,,,WEC,,,,,,,,,,,
ETS.19.12294-41011892,41011892,[INSV],ETS.19.12294,"Dobbins Sub, Table Mountain Hq",TIER 2,HFRA Addition,North Valley & Sierra,Sacramento,Yuba,BK 1C,BK 1 C SINGLE PHASE TRANSFORMER,ETS.19.12294.TXFR,"DOBBINS SUB, POWER TRANSFORMERS",DS1,,1982-06-16,,60.0,12.0,WYE,WYE,1000.0,1000.0,1,WH,,SL,N,TABLEMTN,GM&C,Y,WEC,MECHANICAL,Y,0.0,0.0,41011892-dga_result,41011892-fq_result,41011892-pcb_result,41011892-moisture_result,41011892-furan_result,Westinghouse,4898884,[INST],2.4,DELTA,FOA,55.0,,,,2100.0,8496.0,1000.0,,,,ETS.TXFR,1947-01-01,,,7.5,1050,,N,WEC,,,,,,,,,,,
ETS.87.00008-41011893,41011893,[REMV],ETS.87.00008,,,,,,,REMOVED,BK 1A SINGLE PHASE TRANSFORMER REMOVED,ETS.87.00008,GATES REMOVED EQUIPMENT,,,1973-05-10,,230.0,70.0,,,40000.0,24000.0,1,WH,,MCR1150805011973,N,,GM&C,N,WEC,RBE,Y,0.0,0.0,,,,,,Westinghouse,7001257,"[INAC, INST]",13.200000000000001,,OA/FA/FOA,65.0,,,,,,24000.0,32000.0,40000.0,,ETS.TXFR,1973-01-01,,,7.3,3090,,,WEC,,,,,,,,,,,
ETS.19.12294-41011894,41011894,[INSV],ETS.19.12294,"Dobbins Sub, Table Mountain Hq",TIER 2,HFRA Addition,North Valley & Sierra,Sacramento,Yuba,BK 1A,BK 1 A SINGLE PHASE TRANSFORMER,ETS.19.12294.TXFR,"DOBBINS SUB, POWER TRANSFORMERS",DS1,,1982-06-16,,60.0,12.0,WYE,WYE,1000.0,1000.0,1,WH,,SL,N,TABLEMTN,DCS,Y,WEC,MECHANICAL,Y,0.0,0.0,41011894-dga_result,41011894-fq_result,41011894-pcb_result,41011894-moisture_result,41011894-furan_result,Westinghouse,4898886,[INST],2.4,DELTA,OA/FA,55.0,,,,2040.0,8468.0,1000.0,,,,ETS.TXFR,1947-01-01,,,7.5,1050,,N,WEC,,,,,,,,,,,
ETS.19.12294-41011895,41011895,[INSV],ETS.19.12294,"Dobbins Sub, Table Mountain Hq",TIER 2,HFRA Addition,North Valley & Sierra,Sacramento,Yuba,BK 1B,BK 1 B SINGLE PHASE TRANSFORMER,ETS.19.12294.TXFR,"DOBBINS SUB, POWER TRANSFORMERS",DS1,,1982-06-16,,60.0,12.0,WYE,WYE,1000.0,1000.0,1,WH,,SL,N,TABLEMTN,GM&C,Y,WEC,MECHANICAL,Y,0.0,0.0,41011895-dga_result,41011895-fq_result,41011895-pcb_result,41011895-moisture_result,41011895-furan_result,Westinghouse,4898885,[INST],2.4,DELTA,OA,55.0,,,,2040.0,8465.0,1000.0,,,,ETS.TXFR,1947-01-01,,,7.5,1050,,N,WEC,,,,,,,,,,,
ETS.87.00010-41011896,41011896,[REMV],ETS.87.00010,,,,,,,BK 1A - REMV,BK 1 A SINGLE PHASE TRANSFORMER - REMV,ETS.87.00010,BAKERSFIELD REMOVED EQUIPMENT,,,1956-06-13,,70.0,12.0,WYE,WYE,3750.0,3000.0,1,WEC,,SL,N,,DCS,Y,WEC,MECHANICAL,Y,0.0,0.0,,,,,,W.E. CORPORATION,4907867,"[INAC, INST]",2.4,DELTA,OA/FA,55.0,,,,4680.0,16415.0,3000.0,3750.0,,10.5,ETS.TXFR,1947-12-18,,,7.34,1482,,N,WEC,,71360.0,69576.0,67792.0,66008.0,64224.0,12470.0,,,,
ETS.21.12301-41011897,41011897,"[FREM, OUTS]",ETS.21.12301,"Drake Sub, Vaca Dixon Hq",TIER 1,,North Valley & Sierra,Sacramento,Colusa,BK 1B - OUTS,BK 1 B SINGLE PHASE TRANSFORMER - OUTS,ETS.21.12301.TXFR,"DRAKE SUB, POWER TRANSFORMERS",DS1,,1996-10-07,,60.0,2.4,WYE,DELTA,833.0,833.0,1,AC,,833KVA,N,VACADXON,GM&C,Y,,,N,0.0,0.0,41011897-dga_result,41011897-fq_result,41011897-pcb_result,41011897-moisture_result,41011897-furan_result,ALLIS/CHALMERS,1984289,[INST],,,,55.0,,,,2800.0,7136.0,833.0,,,,ETS.TXFR,1945-01-01,,,6.91,896,,N,ACC,,,,,,,,,,,
ETS.21.12301-41011898,41011898,"[FREM, OUTS]",ETS.21.12301,"Drake Sub, Vaca Dixon Hq",TIER 1,,North Valley & Sierra,Sacramento,Colusa,BK 1A - OUTS,BK 1 A SINGLE PHASE TRANSFORMER - OUTS,ETS.21.12301.TXFR,"DRAKE SUB, POWER TRANSFORMERS",DS1,,1966-10-08,,60.0,2.4,WYE,DELTA,833.0,833.0,1,AC,,833KVA,N,VACADXON,GM&C,Y,,,N,0.0,0.0,41011898-dga_result,41011898-fq_result,41011898-pcb_result,41011898-moisture_result,41011898-furan_result,ALLIS/CHALMERS,1984288,[INST],,,,55.0,,,,2928.0,7138.0,833.0,,,,ETS.TXFR,1945-01-01,,,6.91,896,,N,ACC,,,,,,,,,,,
ETS.21.12288-41011899,41011899,[INSV],ETS.21.12288,"Reclamation Dist#108 Sub, Vaca Dixon Hq",TIER 1,,North Valley & Sierra,Sacramento,Yolo,BK 1A,BK 1 A SINGLE PHASE TRANSFORMER,ETS.21.12288.TXFR,"RECLAMATION DIST#108 SUB, POWER TRANSF",DS1,,1940-01-01,,60.0,2.0,WYE,DELTA,1000.0,1000.0,1,AC,,1000KVA,N,VACADXON,DCS,N,,,N,0.0,0.0,41011899-dga_result,41011899-fq_result,41011899-pcb_result,41011899-moisture_result,41011899-furan_result,ALLIS/CHALMERS,1622701,[INST],,,,55.0,,,,,,1000.0,,,,ETS.TXFR,1937-01-01,,,5.3,,,,ACC,,,,,,,,,,,
ETS.21.12288-41011900,41011900,[INSV],ETS.21.12288,"Reclamation Dist#108 Sub, Vaca Dixon Hq",TIER 1,,North Valley & Sierra,Sacramento,Yolo,BK 1C,BK 1 C SINGLE PHASE TRANSFORMER,ETS.21.12288.TXFR,"RECLAMATION DIST#108 SUB, POWER TRANSF",DS1,,1982-01-01,,60.0,2.0,WYE,DELTA,1000.0,1000.0,1,AC,,1000KVA,N,VACADXON,DCS,N,,,N,0.0,0.0,41011900-dga_result,41011900-fq_result,41011900-pcb_result,41011900-moisture_result,41011900-furan_result,ALLIS/CHALMERS,1622704,[INST],,,,55.0,,,,,,1000.0,,,,ETS.TXFR,1937-01-01,,,5.3,,,,ACC,,,,,,,,,,,
